epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,851.091,0.6186,0.42876,0.90168,0.88504,0.91,0.92909,0.72611,0.84456,0.58702,0.96959,0.0002576,0.0002576,0.0002576
90,860.649,0.59844,0.41516,0.89692,0.8848,0.92167,0.93178,0.72476,0.8542,0.5843,0.96877,0.0002378,0.0002378,0.0002378
91,870.779,0.69686,0.50436,0.92357,0.90454,0.90014,0.93207,0.72388,0.86873,0.57095,0.98308,0.000218,0.000218,0.000218
92,880.621,0.70219,0.50573,0.92794,0.88064,0.92226,0.93512,0.72622,0.85836,0.59622,0.98985,0.0001982,0.0001982,0.0001982
93,890.303,0.68483,0.48654,0.9183,0.90771,0.88517,0.92971,0.72571,0.8561,0.59988,0.98387,0.0001784,0.0001784,0.0001784
94,899.632,0.66096,0.46686,0.92049,0.9129,0.895,0.93057,0.73328,0.83891,0.58423,0.97234,0.0001586,0.0001586,0.0001586
95,909.147,0.67486,0.47389,0.92266,0.88981,0.88827,0.92465,0.72699,0.84195,0.5811,0.97696,0.0001388,0.0001388,0.0001388
96,918.611,0.65756,0.46245,0.9186,0.92247,0.88,0.92984,0.72426,0.85,0.57213,0.97544,0.000119,0.000119,0.000119
97,927.975,0.64443,0.44442,0.90183,0.89184,0.90698,0.92886,0.72332,0.85425,0.57709,0.97809,9.92e-05,9.92e-05,9.92e-05
98,937.224,0.63774,0.44224,0.90735,0.89462,0.905,0.92126,0.722,0.83774,0.57417,0.96351,7.94e-05,7.94e-05,7.94e-05
99,946.474,0.62837,0.44524,0.90039,0.89211,0.9096,0.92191,0.72527,0.8292,0.57084,0.96066,5.96e-05,5.96e-05,5.96e-05
100,955.918,0.62597,0.43568,0.89138,0.91579,0.88,0.92293,0.72517,0.82292,0.56043,0.95669,3.98e-05,3.98e-05,3.98e-05
